"dataset","model","AUC_med","Accuracy","Precision","Recall"
"mirantis","cart",0.694,0.653,0.678,0.664
"mirantis","knn",0.726,0.671,0.712,0.642
"mirantis","lr",0.744,0.666,0.692,0.673
"mirantis","nb",0.744,0.67,0.732,0.602
"mirantis","rf",0.719,0.673,0.692,0.698
"mozilla","cart",0.722,0.688,0.67,0.593
"mozilla","knn",0.714,0.658,0.634,0.556
"mozilla","lr",0.744,0.695,0.689,0.576
"mozilla","nb",0.728,0.693,0.693,0.561
"mozilla","rf",0.813,0.744,0.714,0.714
"openstack","cart",0.699,0.683,0.726,0.738
"openstack","knn",0.761,0.697,0.746,0.733
"openstack","lr",0.685,0.63,0.661,0.756
"openstack","nb",0.737,0.674,0.73,0.703
"openstack","rf",0.75,0.698,0.721,0.789
"wikimedia","cart",0.709,0.639,0.674,0.652
"wikimedia","knn",0.731,0.673,0.747,0.603
"wikimedia","lr",0.757,0.687,0.71,0.718
"wikimedia","nb",0.788,0.706,0.759,0.675
"wikimedia","rf",0.696,0.622,0.64,0.696
